source_spreadsheet,key,annotator,date_annotated,annotation_comments,exclude,time_taken,pub_venue,pub_authors,pub_year,cs_def,cs_type,pub_url,system_language,system_input,external_knowledge,system_output,system_task,knowledge_eval,op_response_values,op_instrument_size,op_instrument_type,op_data_type,op_form,op_question_prompt_verbatim,op_statistics,criterion_verbatim,criterion_definition_verbatim,criterion_paraphrase,criterion_external
1,2020.acl-main.711,MC,26/01/21,,,,ACL,Chakrabarty et al.,2020,none,Commonsense Context,https://www.aclweb.org/anthology/2020.acl-main.711.pdf,English,text: sentence,"ConceptNet, COMET",text: sentence,feature-controlled generation,Yes,N/A,N/A,text annotation,text,evaluation through post-editing/annotation,not given,blank,none given,none given,blank,"Retrieving Sentences Containing
Commonsense Concepts"
1,2020.acl-main.711,MC,26/01/21,,,,ACL,Chakrabarty et al.,2020,none,Commonsense Context,https://www.aclweb.org/anthology/2020.acl-main.711.pdf,English,text: sentence,"ConceptNet, COMET",text: sentence,feature-controlled generation,Yes,N/A,N/A,rank ordering,rank order,relative quality estimation,not given,blank,none given,none given,------ 39h. Goodness of outputs relative to linguistic context in which they are read/heard,
1,2020.acl-main.711,MC,26/01/21,not 100% about statistics .. ,,,ACL,Chakrabarty et al.,2020,none,Commonsense Context,https://www.aclweb.org/anthology/2020.acl-main.711.pdf,English,text: sentence,"ConceptNet, COMET",text: sentence,feature-controlled generation,Yes,1-5,5,Likert scale,ordinal,(dis)agreement with quality statement,How creative are the utterances ?,"median, p value",Creativity,none given,------ 18. Detectability of controlled feature [PROPERTY] (specify): creatvity,
1,2020.acl-main.711,MC,26/01/21,not 100% about statistics .. ,,,ACL,Chakrabarty et al.,2020,none,Commonsense Context,https://www.aclweb.org/anthology/2020.acl-main.711.pdf,English,text: sentence,"ConceptNet, COMET",text: sentence,feature-controlled generation,Yes,1-5,5,Likert scale,ordinal,(dis)agreement with quality statement,How sarcastic are the utterances?,"median, p value",Sarcasticness,none given,------ 18. Detectability of controlled feature [PROPERTY] (specify): Sarcasticness,
1,2020.acl-main.711,MC,26/01/21,not 100% about statistics .. ,,,ACL,Chakrabarty et al.,2020,none,Commonsense Context,https://www.aclweb.org/anthology/2020.acl-main.711.pdf,English,text: sentence,"ConceptNet, COMET",text: sentence,feature-controlled generation,Yes,1-5,5,Likert scale,ordinal,(dis)agreement with quality statement,How funny are the sentences?,"median, p value",Humour,none given,------ 18. Detectability of controlled feature [PROPERTY] (specify): humour,
1,2020.acl-main.711,MC,26/01/21,not 100% about statistics .. ,,,ACL,Chakrabarty et al.,2020,none,Commonsense Context,https://www.aclweb.org/anthology/2020.acl-main.711.pdf,English,text: sentence,"ConceptNet, COMET",text: sentence,feature-controlled generation,Yes,1-5,5,Likert scale,ordinal,(dis)agreement with quality statement,How grammatical are the sentences?,"median, p value",Grammaticality,none given,---------- 22. Grammaticality,
1,P19-1488,MC,27/01/21,,,,ACL,Sydorova et al.,2019,none,,https://www.aclweb.org/anthology/P19-1488/,English,text: sentence,,text: sentence,question answering,No,"definitely left, rather left, difficult to say, rather right and definitely right. ",5,verbal descriptor scale,ordinal,direct quality estimation, The order in which model A and model B appear on the screen,blank,none given,none given,------ 27. Inferrability of speaker/author trait [TRAIT] (specify):,
1,P19-1193,MC,27/01/21,,,,ACL,Yang et al.,2019,none,Commonsense Knowledge,https://www.aclweb.org/anthology/P19-1193.pdf,English,text: sentence,ConceptNet,text: multiple sentences,summarisation (text-to-text),No,1-5,5,unclear,unclear,unclear,not given,blank,Novelty,none given,---------- 28/29. Information content of outputs,
1,P19-1193,MC,27/01/21,,,,ACL,Yang et al.,2019,none,Commonsense Knowledge,https://www.aclweb.org/anthology/P19-1193.pdf,English,text: subsentential units of text,ConceptNet,text: multiple sentences,summarisation (text-to-text),No,1-5,5,unclear,unclear,unclear,not given,blank,Diversity,none given,---------- 36. Nonredundancy (both form and content),
1,P19-1193,MC,27/01/21,,,,ACL,Yang et al.,2019,none,Commonsense Knowledge,https://www.aclweb.org/anthology/P19-1193.pdf,English,text: subsentential units of text,ConceptNet,text: multiple sentences,summarisation (text-to-text),No,1-5,5,unclear,unclear,unclear,not given,blank,Coherence,none given,---------- 9. Coherence,
1,P19-1193,MC,27/01/21,,,,ACL,Yang et al.,2019,none,Commonsense Knowledge,https://www.aclweb.org/anthology/P19-1193.pdf,English,text: subsentential units of text,ConceptNet,text: multiple sentences,summarisation (text-to-text),No,1-5,5,unclear,unclear,unclear,not given,blank,Topic-consistency,none given,---------- 38. Nonredundancy (content),
1,N19-1126,MC,27/01/21,,,,NAACL-HLT,Raghu et al.,2019,none,blank,https://www.aclweb.org/anthology/N19-1126/,English,text: sentence,blank,text: sentence,deep generation (DLR to text),No,0-3,4,output classification,categorical,classification,Please select all the options that could be a relevant response to the incomplete conversation,blank,Usefulness," the usefulness of a generated response with
respect to solving the given task,
 validate useful responses based on the given dialog
context",--------------- 52. Usefulness for task/information need,
1,N19-1126,MC,27/01/21,,,,NAACL-HLT,Raghu et al.,2019,none,blank,https://www.aclweb.org/anthology/N19-1126/,English,text: sentence,blank,text: sentence,deep generation (DLR to text),No,0 is a completely incorect sentence and 3 is a fully/nearly grammatically correct and natural sounding sentence,4,Likert scale,ordinal,(dis)agreement with quality statement,not given,blank,Grammatical correctness,validate grammatical correctness of different responses,---------- 22. Grammaticality,
1,N19-1126,MC,27/01/21,,,,NAACL-HLT,Raghu et al.,2019,none,blank,https://www.aclweb.org/anthology/N19-1126/,English,text: sentence,blank,text: sentence,deep generation (DLR to text),No,0 is a completely incorect sentence and 3 is a fully/nearly grammatically correct and natural sounding sentence,4,Likert scale,ordinal,(dis)agreement with quality statement,not given,blank,Fluency,none given,---------- 21. Fluency,
